company_id,type,rule_id,text,confidence_pct
ABB,pro,PRO-01,ROE has remained above 20% for at least three consecutive years,90
ABB,pro,PRO-02,Free cash flow has remained positive for at least five consecutive years,92
ABB,pro,PRO-06,Five-year PAT CAGR is above 20%,88
ABB,pro,PRO-07,Strong interest coverage or debt-free balance sheet,87
ABB,pro,PRO-09,Five-year EPS CAGR is above 15%,86
ABB,pro,PRO-10,ROE has improved for three consecutive annual periods,82
ABB,con,CON-FB-01,No predefined negative financial signal was triggered from the available financial data,61
ADANIENSOL,pro,PRO-04,Five-year revenue CAGR is above 15%,88
ADANIENSOL,pro,PRO-05,Latest annual operating profit margin is above 25%,85
ADANIENSOL,pro,PRO-11,"Revenue CAGR is higher than PAT CAGR, indicating stronger revenue growth relative to profit growth",76
ADANIENSOL,con,CON-01,Debt-to-equity ratio is above 2 for a non-financial company,91
ADANIENSOL,con,CON-10,ROCE is below 10%,90
ADANIENSOL,con,CON-11,Borrowings-to-EBITDA proxy is above 3; direct net debt cannot be calculated from the available database fields,82
ADANIENT,pro,PRO-04,Five-year revenue CAGR is above 15%,88
ADANIENT,pro,PRO-06,Five-year PAT CAGR is above 20%,88
ADANIENT,pro,PRO-09,Five-year EPS CAGR is above 15%,86
ADANIENT,con,CON-11,Borrowings-to-EBITDA proxy is above 3; direct net debt cannot be calculated from the available database fields,82
ADANIGREEN,pro,PRO-04,Five-year revenue CAGR is above 15%,88
ADANIGREEN,pro,PRO-05,Latest annual operating profit margin is above 25%,85
ADANIGREEN,con,CON-01,Debt-to-equity ratio is above 2 for a non-financial company,91
ADANIGREEN,con,CON-11,Borrowings-to-EBITDA proxy is above 3; direct net debt cannot be calculated from the available database fields,82
ADANIPORTS,pro,PRO-04,Five-year revenue CAGR is above 15%,88
ADANIPORTS,pro,PRO-05,Latest annual operating profit margin is above 25%,85
ADANIPORTS,pro,PRO-11,"Revenue CAGR is higher than PAT CAGR, indicating stronger revenue growth relative to profit growth",76
ADANIPORTS,con,CON-FB-01,No predefined negative financial signal was triggered from the available financial data,61
ADANIPOWER,pro,PRO-01,ROE has remained above 20% for at least three consecutive years,90
ADANIPOWER,pro,PRO-02,Free cash flow has remained positive for at least five consecutive years,92
ADANIPOWER,pro,PRO-04,Five-year revenue CAGR is above 15%,88
ADANIPOWER,pro,PRO-05,Latest annual operating profit margin is above 25%,85
ADANIPOWER,pro,PRO-10,ROE has improved for three consecutive annual periods,82
ADANIPOWER,con,CON-FB-01,No predefined negative financial signal was triggered from the available financial data,61
AMBUJACEM,pro,PRO-07,Strong interest coverage or debt-free balance sheet,87
AMBUJACEM,con,CON-12,Five-year revenue CAGR is below 5%,86
APOLLOHOSP,pro,PRO-02,Free cash flow has remained positive for at least five consecutive years,92
APOLLOHOSP,pro,PRO-06,Five-year PAT CAGR is above 20%,88
APOLLOHOSP,pro,PRO-08,Dividend yield is above 2% with positive free cash flow,84
APOLLOHOSP,pro,PRO-09,Five-year EPS CAGR is above 15%,86
APOLLOHOSP,con,CON-FB-01,No predefined negative financial signal was triggered from the available financial data,61
ASIANPAINT,pro,PRO-01,ROE has remained above 20% for at least three consecutive years,90
ASIANPAINT,pro,PRO-02,Free cash flow has remained positive for at least five consecutive years,92
ASIANPAINT,pro,PRO-06,Five-year PAT CAGR is above 20%,88
ASIANPAINT,pro,PRO-07,Strong interest coverage or debt-free balance sheet,87
ASIANPAINT,pro,PRO-08,Dividend yield is above 2% with positive free cash flow,84
ASIANPAINT,pro,PRO-09,Five-year EPS CAGR is above 15%,86
ASIANPAINT,con,CON-08,Debt-to-equity ratio has increased for three consecutive annual periods,87
ATGL,pro,PRO-04,Five-year revenue CAGR is above 15%,88
ATGL,pro,PRO-06,Five-year PAT CAGR is above 20%,88
ATGL,pro,PRO-07,Strong interest coverage or debt-free balance sheet,87
ATGL,pro,PRO-09,Five-year EPS CAGR is above 15%,86
ATGL,con,CON-FB-01,No predefined negative financial signal was triggered from the available financial data,61
AXISBANK,pro,PRO-05,Latest annual operating profit margin is above 25%,85
AXISBANK,pro,PRO-06,Five-year PAT CAGR is above 20%,88
AXISBANK,pro,PRO-09,Five-year EPS CAGR is above 15%,86
AXISBANK,con,CON-10,ROCE is below 10%,90
AXISBANK,con,CON-11,Borrowings-to-EBITDA proxy is above 3; direct net debt cannot be calculated from the available database fields,82
BAJAJ-AUTO,pro,PRO-01,ROE has remained above 20% for at least three consecutive years,90
BAJAJ-AUTO,pro,PRO-02,Free cash flow has remained positive for at least five consecutive years,92
BAJAJ-AUTO,pro,PRO-07,Strong interest coverage or debt-free balance sheet,87
BAJAJ-AUTO,pro,PRO-08,Dividend yield is above 2% with positive free cash flow,84
BAJAJ-AUTO,con,CON-FB-01,No predefined negative financial signal was triggered from the available financial data,61
BAJAJFINSV,pro,PRO-01,ROE has remained above 20% for at least three consecutive years,90
BAJAJFINSV,pro,PRO-04,Five-year revenue CAGR is above 15%,88
BAJAJFINSV,pro,PRO-05,Latest annual operating profit margin is above 25%,85
BAJAJFINSV,pro,PRO-06,Five-year PAT CAGR is above 20%,88
BAJAJFINSV,pro,PRO-09,Five-year EPS CAGR is above 15%,86
BAJAJFINSV,con,CON-02,Free cash flow has been negative for three consecutive annual periods,92
BAJAJFINSV,con,CON-08,Debt-to-equity ratio has increased for three consecutive annual periods,87
BAJAJFINSV,con,CON-11,Borrowings-to-EBITDA proxy is above 3; direct net debt cannot be calculated from the available database fields,82
BAJAJHLDNG,pro,PRO-04,Five-year revenue CAGR is above 15%,88
BAJAJHLDNG,pro,PRO-05,Latest annual operating profit margin is above 25%,85
BAJAJHLDNG,pro,PRO-07,Strong interest coverage or debt-free balance sheet,87
BAJAJHLDNG,pro,PRO-08,Dividend yield is above 2% with positive free cash flow,84
BAJAJHLDNG,pro,PRO-09,Five-year EPS CAGR is above 15%,86
BAJAJHLDNG,pro,PRO-11,"Revenue CAGR is higher than PAT CAGR, indicating stronger revenue growth relative to profit growth",76
BAJAJHLDNG,con,CON-FB-01,No predefined negative financial signal was triggered from the available financial data,61
BAJFINANCE,pro,PRO-04,Five-year revenue CAGR is above 15%,88
BAJFINANCE,pro,PRO-05,Latest annual operating profit margin is above 25%,85
BAJFINANCE,pro,PRO-06,Five-year PAT CAGR is above 20%,88
BAJFINANCE,pro,PRO-07,Strong interest coverage or debt-free balance sheet,87
BAJFINANCE,pro,PRO-09,Five-year EPS CAGR is above 15%,86
BAJFINANCE,con,CON-02,Free cash flow has been negative for three consecutive annual periods,92
BAJFINANCE,con,CON-03,Operating profit margin has declined for three consecutive annual periods,88
BAJFINANCE,con,CON-11,Borrowings-to-EBITDA proxy is above 3; direct net debt cannot be calculated from the available database fields,82
BANKBARODA,pro,PRO-04,Five-year revenue CAGR is above 15%,88
BANKBARODA,pro,PRO-05,Latest annual operating profit margin is above 25%,85
BANKBARODA,pro,PRO-06,Five-year PAT CAGR is above 20%,88
